"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Feb 15 02:47:00 UTC 2024","Thu Feb 15 02:47:01 UTC 2024","357","","6. Company Account","","","","9. Review Final Review",""
"passed","Thu Feb 15 03:30:28 UTC 2024","Thu Feb 15 03:30:31 UTC 2024","3010","","16. Nucleus Wealth Wordpress Site","","","","7. Visit Contact",""
"passed","Thu Feb 15 02:32:58 UTC 2024","Thu Feb 15 02:33:05 UTC 2024","7319","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","5. Complete Screen and Tilts",""
"passed","Thu Feb 15 03:30:17 UTC 2024","Thu Feb 15 03:30:20 UTC 2024","2765","","16. Nucleus Wealth Wordpress Site","","","","3. Visit Ethical Investing",""
"passed","Thu Feb 15 03:44:53 UTC 2024","Thu Feb 15 03:45:13 UTC 2024","20517","","21. Forgot password function","","","","2. Reset password",""
"passed","Thu Feb 15 03:41:21 UTC 2024","Thu Feb 15 03:41:23 UTC 2024","2356","","19. Look Up Investment Account","","","","3. Search Account ID 445",""
"passed","Thu Feb 15 02:20:36 UTC 2024","Thu Feb 15 02:20:59 UTC 2024","22086","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","1. Validate login credentials",""
"passed","Thu Feb 15 03:43:22 UTC 2024","Thu Feb 15 03:43:23 UTC 2024","962","","20. Admin Portal - Check details","","","","6. Check Account Settings & History (Data Snapshots)",""
"passed","Thu Feb 15 02:28:20 UTC 2024","Thu Feb 15 02:28:24 UTC 2024","4212","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","3. Complete Investment Choice",""
"passed","Thu Feb 15 02:28:24 UTC 2024","Thu Feb 15 02:28:46 UTC 2024","21451","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","4. Complete Risk Profile",""
"passed","Thu Feb 15 02:21:47 UTC 2024","Thu Feb 15 02:22:09 UTC 2024","22026","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","6. Complete Build Your Portfolio",""
"passed","Thu Feb 15 04:11:16 UTC 2024","Thu Feb 15 04:11:43 UTC 2024","26835","","22. Individual Onboarding for Interactive Brokers","","","","5. Complete Risk Profile",""
"passed","Thu Feb 15 02:42:56 UTC 2024","Thu Feb 15 02:42:59 UTC 2024","2860","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","5. Complete Screen and tilts",""
"passed","Thu Feb 15 02:28:09 UTC 2024","Thu Feb 15 02:28:20 UTC 2024","10878","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","2. Create new Personal Super Account",""
"passed","Thu Feb 15 02:57:34 UTC 2024","Thu Feb 15 02:57:34 UTC 2024","292","","10. Client Portal - Account Dashboard","","","","2. Overall asset summary panel",""
"passed","Thu Feb 15 03:03:01 UTC 2024","Thu Feb 15 03:03:02 UTC 2024","1390","","12. Client Portal - Forms","","","","2. Check Form Page",""
"passed","Thu Feb 15 04:14:18 UTC 2024","Thu Feb 15 04:15:19 UTC 2024","61013","","22. Individual Onboarding for Interactive Brokers","","","","14. Complete Final Review",""
"passed","Thu Feb 15 04:11:12 UTC 2024","Thu Feb 15 04:11:16 UTC 2024","4086","","22. Individual Onboarding for Interactive Brokers","","","","4. Navigate to Risk Profile page",""
"passed","Thu Feb 15 03:24:55 UTC 2024","Thu Feb 15 03:25:47 UTC 2024","52465","","13. Client Portal - Change Portfolio","","","","6. Submit Change",""
"passed","Thu Feb 15 02:34:29 UTC 2024","Thu Feb 15 02:34:33 UTC 2024","3341","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","8. Navigate from Applicants to Final Review",""
"passed","Thu Feb 15 02:46:47 UTC 2024","Thu Feb 15 02:46:57 UTC 2024","9650","","6. Company Account","","","","7. Complete In Company Details",""
"passed","Thu Feb 15 02:32:08 UTC 2024","Thu Feb 15 02:32:25 UTC 2024","17315","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","1. Validate login credentials",""
"passed","Thu Feb 15 04:12:18 UTC 2024","Thu Feb 15 04:13:25 UTC 2024","67234","","22. Individual Onboarding for Interactive Brokers","","","","9. Complete Applicants",""
"passed","Thu Feb 15 02:58:14 UTC 2024","Thu Feb 15 02:58:15 UTC 2024","1236","","10. Client Portal - Account Dashboard","","","","6. Expand Ethics/Exclusions",""
"passed","Thu Feb 15 03:00:50 UTC 2024","Thu Feb 15 03:01:13 UTC 2024","23647","","11. Client Portal - Administration","","","","4. Check Administration Page",""
"passed","Thu Feb 15 03:24:53 UTC 2024","Thu Feb 15 03:24:55 UTC 2024","1616","","13. Client Portal - Change Portfolio","","","","5. Check Final Review",""
"passed","Thu Feb 15 03:30:14 UTC 2024","Thu Feb 15 03:30:17 UTC 2024","3212","","16. Nucleus Wealth Wordpress Site","","","","2. Visit Investment Options",""
"passed","Thu Feb 15 02:32:37 UTC 2024","Thu Feb 15 02:32:58 UTC 2024","21355","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","4. Complete Risk Profile",""
